"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"TL","Linear",-1.14185536165083,0.308749530116101,0.000217028959691374,0.0953262723469133
"HL","Linear",1.17712770342481,0.310720533293485,0.000151632311771967,0.0965472498101878
"WT","Linear",-1.02310650903239,0.306946835796481,0.000858619342464965,0.0942163600054721
"KL","Linear",0.869160253174812,0.294664878614389,0.00318127133161743,0.0868273906888326
"TL²","Quadratic",-0.101155107193324,0.736381844293255,0.890740131756136,0.542258220604736
"HL²","Quadratic",-0.336956254071901,0.674073913237014,0.617159381022388,0.454375640506662
"WT²","Quadratic",-0.532300742456453,0.691200137640846,0.441234125899648,0.477757630274725
"KL²","Quadratic",0.58238740331413,0.738580962319605,0.430391383259057,0.545501837900954
"TL × HL","Correlational",0.368345446736663,0.491525576629024,0.453620834279192,0.241597392480495
"TL × WT","Correlational",-0.0607601977658732,0.557012892426471,0.91313728438774,0.310263362329303
"TL × KL","Correlational",-1.0184282075789,0.59792404945304,0.0885168914226775,0.357513168914321
"HL × WT","Correlational",0.347828182510101,0.574241952952195,0.544702612937317,0.329753820530351
"HL × KL","Correlational",-0.0729855599747398,0.435492866023033,0.86690347113047,0.189654036356955
"WT × KL","Correlational",0.351350018882855,0.524535754926566,0.502965882378961,0.275137758196383
