"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"SLA","Linear",0.05902363747125,0.112219281952377,0.601147223307564,0.0125931672419071
"deltaC13","Linear",0.0619766637823494,0.0981704126927149,0.530598646442826,0.00963742992825795
"FDsnow","Linear",-0.151391717295305,0.109808151959988,0.17389187515583,0.0120578302368677
"height","Linear",-0.229310795220014,0.101796269544657,0.0285282249805593,0.0103624804932084
"SLA²","Quadratic",-0.131260212085616,0.252937963851596,0.606524769371412,0.0639776135573911
"deltaC13²","Quadratic",-0.194998524287815,0.194963430906559,0.322951212780519,0.0380107393908568
"FDsnow²","Quadratic",-0.42853553103927,0.32001068512974,0.187731370596782,0.102406838597206
"height²","Quadratic",-0.109088585895452,0.218708607581467,0.620533233504075,0.0478334550302241
"SLA × deltaC13","Correlational",-0.0485983830956867,0.163311425316665,0.767489968321122,0.0266706216389607
"SLA × FDsnow","Correlational",-0.167104494504259,0.142387390531177,0.247171500799718,0.020274168982278
"SLA × height","Correlational",0.0368524741432567,0.138569599386369,0.791579547360351,0.0192015338740988
"deltaC13 × FDsnow","Correlational",0.0935750828984882,0.134362552440843,0.489991633963578,0.0180532954984183
"deltaC13 × height","Correlational",0.038291732145487,0.139291428618141,0.784738033709312,0.0194021020864828
"FDsnow × height","Correlational",-0.23827697952905,0.195654911850164,0.230081390689747,0.0382808445310955
