"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"SLA","Linear",-0.0563405874312375,0.0643563580786868,0.3834497505348,0.00414174082515216
"deltaC13","Linear",0.0322281425559652,0.0599075935176079,0.591809097219966,0.00358891976107093
"FDsnow","Linear",-0.146576837715669,0.0653200994479195,0.027060929603723,0.0042667153918861
"height","Linear",-0.069465602210005,0.0598032130108675,0.248203176301178,0.0035764242864232
"SLA²","Quadratic",-0.083149511171098,0.123450546277277,0.502345995999226,0.0152400373761581
"deltaC13²","Quadratic",-0.0589894980330239,0.107811774945739,0.585643258658725,0.0116233788169507
"FDsnow²","Quadratic",-0.0754412311979613,0.143617738360195,0.600686535484921,0.0206260547716974
"height²","Quadratic",-0.126569959607138,0.117146143813477,0.282863228775715,0.0137232190103679
"SLA × deltaC13","Correlational",-0.0432665654977066,0.0910577105240945,0.635840221994145,0.00829150664588979
"SLA × FDsnow","Correlational",-0.0630038721066949,0.0812111353598148,0.439921779290363,0.00659524850643017
"SLA × height","Correlational",-0.0476232459288535,0.0706808117577035,0.502197975598992,0.00499577715072791
"deltaC13 × FDsnow","Correlational",0.041443187691231,0.0753107548636706,0.583495073145639,0.00567170979813589
"deltaC13 × height","Correlational",0.0321362404282255,0.0738055961018494,0.664313634402176,0.00544726601594933
"FDsnow × height","Correlational",-0.162381938400619,0.0933553506866509,0.0854224209490992,0.00871522150182757
