"Trait","Fitness","Analysis","Beta","P_Beta","Gamma","P_Gamma","Selection"
"jaw","Binary","Overall",0.0387,1.49290517378608e-05,0.0085,0.916732926378334,"None"
"jaw","Continuous","Overall",-0.0349,0.00505821032199496,-0.002,0.912243431321971,"None"
"eye","Binary","Overall",0.0113,0.175086865508152,-0.0141,0.193848687707229,"None"
"eye","Continuous","Overall",0.0245,0.040261452190246,0.0058,0.707510554352581,"None"
"body","Binary","Overall",-0.0241,0.00786212912568211,0.0177,0.229581488784786,"None"
"body","Continuous","Overall",-0.0021,0.86298159887502,-0.0183,0.270708317749203,"None"
"nasal","Binary","Overall",-0.0121,0.21734005137158,0.0281,0.0214609456692061,"Disruptive"
"nasal","Continuous","Overall",0.0192,0.117774961268347,-0.0029,0.849950606970111,"None"
"mouth","Binary","Overall",-0.0121,0.170481956182479,0.0052,0.701656939224536,"None"
"mouth","Continuous","Overall",0.0153,0.202909662251097,-0.0172,0.282434878474172,"None"
"SL","Binary","Overall",-0.0424,1.16872714149573e-05,0.0291,0.0959925971941464,"None"
"SL","Continuous","Overall",0.0048,0.69328083854681,-0.0302,0.0458047597636893,"Stabilizing"
