"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"body","Linear",-0.00986447843400718,0.0173249381639714,0.578540223580401,0.000300153482385433,"Crescent Pond"
"SL","Linear",-0.064512949466934,0.0173249381639714,0.000345906887244886,0.000300153482385433,"Crescent Pond"
"body²","Quadratic",0.0138559360389904,0.0323810132954943,0.692949805550536,0.00104853002204298,"Crescent Pond"
"SL²","Quadratic",0.0552091699170465,0.0343938215775109,0.259698745405798,0.00118293496270565,"Crescent Pond"
"body × SL","Correlational",-0.0130746222067621,0.0285600328673973,0.612221324242852,0.000815675477386812,"Crescent Pond"
"body","Linear",0.0155495265354477,0.0126006164496442,0.217484728000389,0.000158775534911044,"Little Lake"
"SL","Linear",-0.0330897356544592,0.0126006164496442,0.00900935168960987,0.000158775534911044,"Little Lake"
"body²","Quadratic",-0.00514637342139462,0.0188957704839712,0.724659650177448,0.000357050142182917,"Little Lake"
"SL²","Quadratic",0.0150904246899322,0.0165662597237821,0.66091789087027,0.000274440961235804,"Little Lake"
"body × SL","Correlational",0.00593226883068148,0.0146625898391972,0.58559125499745,0.000214991540792529,"Little Lake"
