"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"body","Linear",-0.0548467727705779,0.0127688206641336,2.51840522723315e-05,0.000163042781152804,"Crescent Pond"
"mouth","Linear",-0.013233796750047,0.0127688206641335,0.290999100645226,0.000163042781152804,"Crescent Pond"
"body²","Quadratic",0.0264271088568315,0.0182157958723854,0.437934326710474,0.000331815219264412,"Crescent Pond"
"mouth²","Quadratic",0.0114088438960401,0.0173854218327965,0.61964841276346,0.000302252892304277,"Crescent Pond"
"body × mouth","Correlational",0.0272287240075935,0.0124247841171679,0.0630120863571219,0.000154375260358227,"Crescent Pond"
"body","Linear",0.00130637655767321,0.0112795605514176,0.909154128396856,0.000127228486233095,"Little Lake"
"mouth","Linear",-0.0146085719086065,0.0112795605514176,0.195381914540515,0.000127228486233096,"Little Lake"
"body²","Quadratic",0.00506449287925207,0.0157245012490522,0.754538499183818,0.000247259939531444,"Little Lake"
"mouth²","Quadratic",-0.0115566503044721,0.0151687831990304,0.400366918138668,0.000230091983739186,"Little Lake"
"body × mouth","Correlational",0.00508774202075153,0.0110940667219355,0.637516671218499,0.000123078316430758,"Little Lake"
