"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"body","Linear",-0.0579292718070422,0.0126736709108935,1.15674359957453e-05,0.000160621934357628,"Crescent Pond"
"nasal","Linear",-0.050589538491094,0.0126736709108935,0.000140599859810277,0.000160621934357628,"Crescent Pond"
"body²","Quadratic",0.0211381209718277,0.0181150993684864,0.547138966032539,0.000328156825130138,"Crescent Pond"
"nasal²","Quadratic",0.047529969279842,0.0149771265612704,0.0131677294655261,0.000224314320032313,"Crescent Pond"
"body × nasal","Correlational",0.0123218515235814,0.0118379834754745,0.625576741377311,0.000140137852765607,"Crescent Pond"
"body","Linear",0.00111912797864516,0.0112997766454718,0.920608781144017,0.000127684952237551,"Little Lake"
"nasal","Linear",0.00788055224195536,0.0112997766454718,0.485092905866736,0.000127684952237551,"Little Lake"
"body²","Quadratic",0.00670230545810437,0.0157609341507101,0.689885315867408,0.000248407045303022,"Little Lake"
"nasal²","Quadratic",-0.0223452531666544,0.0166057946310333,0.162248614181349,0.000275752415328054,"Little Lake"
"body × nasal","Correlational",0.00965121191637354,0.0113464832109067,0.379264708692007,0.000128742681255387,"Little Lake"
