"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"eye","Linear",0.0185715755249924,0.0128770009197581,0.176325569546661,0.000165817152687451,"Crescent Pond"
"SL","Linear",-0.0748272431446487,0.0128770009197581,2.3646126097546e-08,0.000165817152687451,"Crescent Pond"
"eye²","Quadratic",-0.0297756716178485,0.0179931791074997,0.0372945021040424,0.000323754494394562,"Crescent Pond"
"SL²","Quadratic",0.0519823924112476,0.018973578711179,0.114107147400084,0.000359996689109305,"Crescent Pond"
"eye × SL","Correlational",-0.0531796494985735,0.0149409729004536,0.000973311690738257,0.000223232671212088,"Crescent Pond"
"eye","Linear",0.0121665495004086,0.0113591487353117,0.311834941550161,0.000129030259990933,"Little Lake"
"SL","Linear",-0.024270838796785,0.0113591487353117,0.0366115792361509,0.000129030259990934,"Little Lake"
"eye²","Quadratic",0.0179717646211551,0.0158663793108818,0.326930268361283,0.000251741992436776,"Little Lake"
"SL²","Quadratic",0.0322782951848235,0.0147135384844673,0.0540960638240434,0.0002164882147339,"Little Lake"
"eye × SL","Correlational",0.0283134726133375,0.0109999258409242,0.0107556175207171,0.000120998368505832,"Little Lake"
