"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"eye","Linear",0.0138824099787371,0.0129323063991386,0.275844280065149,0.000167244548801202,"Crescent Pond"
"body","Linear",-0.0563413458916361,0.0129323063991386,1.9614239359894e-05,0.000167244548801202,"Crescent Pond"
"eye²","Quadratic",-0.0384977191061259,0.0179288050366063,0.0110477794331058,0.000321442050040638,"Crescent Pond"
"body²","Quadratic",0.0365972640513194,0.0184652764550788,0.315638060613789,0.000340966434562487,"Crescent Pond"
"eye × body","Correlational",-0.0593897022422858,0.014731482588473,8.3020991397888e-05,0.000217016579254483,"Crescent Pond"
"eye","Linear",0.0157380697638066,0.0112670228218958,0.162542070574072,0.00012694580326912,"Little Lake"
"body","Linear",0.000959422577439395,0.0112670228218958,0.925919953650519,0.00012694580326912,"Little Lake"
"eye²","Quadratic",0.00698024380198608,0.0142151812243335,0.736269990774644,0.000202071377240645,"Little Lake"
"body²","Quadratic",0.0029832106791655,0.0158902236281603,0.871889770772641,0.000252499206952943,"Little Lake"
"eye × body","Correlational",-0.0049222031047102,0.011560432005374,0.706640317242462,0.000133643588150875,"Little Lake"
