"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"eye","Linear",0.00361894044952076,0.0128933336983023,0.778820987095499,0.000166238053855777,"Crescent Pond"
"mouth","Linear",-0.00929767529609951,0.0128933336983023,0.470444610623329,0.000166238053855777,"Crescent Pond"
"eye²","Quadratic",-0.0461051246665624,0.0181817721033024,0.0114361226988875,0.000330576836816424,"Crescent Pond"
"mouth²","Quadratic",0.0232110593270861,0.0173807527895919,0.197311923716642,0.000302090567532908,"Crescent Pond"
"eye × mouth","Correlational",-0.00610690839975883,0.013507036512188,0.58690744476567,0.000182440035341581,"Crescent Pond"
"eye","Linear",0.0161844396292952,0.0112587050288797,0.15075627762191,0.000126758438927321,"Little Lake"
"mouth","Linear",-0.0150482561220172,0.0112587050288797,0.181464868286531,0.000126758438927321,"Little Lake"
"eye²","Quadratic",0.00760085980857681,0.0136478119680705,0.711106919418438,0.000186262771515809,"Little Lake"
"mouth²","Quadratic",-0.00963945612679649,0.0151619158655118,0.44965470734825,0.000229883692712859,"Little Lake"
"eye × mouth","Correlational",0.00755865330424147,0.0116273757109717,0.446221246884471,0.000135195865924095,"Little Lake"
