"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"eye","Linear",-0.00193266637830761,0.0128945259040084,0.889079931913508,0.000166268798289144,"Crescent Pond"
"nasal","Linear",-0.0462869218790449,0.0128945259040084,0.000416569567971439,0.000166268798289144,"Crescent Pond"
"eye²","Quadratic",-0.0395826446748347,0.0183528425566699,0.0188878979340509,0.000336826829909915,"Crescent Pond"
"nasal²","Quadratic",0.0612274313291885,0.0149254621651718,0.00192398638971629,0.000222769420843976,"Crescent Pond"
"eye × nasal","Correlational",0.0285133147429925,0.0133687719513036,0.0408695285667814,0.000178724063485962,"Crescent Pond"
"eye","Linear",0.0158567605225348,0.0112623282117472,0.159238807318156,0.000126840036749117,"Little Lake"
"nasal","Linear",0.00808195312818565,0.0112623282117472,0.472392507315703,0.000126840036749117,"Little Lake"
"eye²","Quadratic",0.00831791747843452,0.0136370071286532,0.638058077901338,0.000185967963426938,"Little Lake"
"nasal²","Quadratic",-0.0230034790859793,0.016608380980921,0.155774184404708,0.000275838318807418,"Little Lake"
"eye × nasal","Correlational",0.00692724628948376,0.0115788116457984,0.601501957778033,0.000134068879128877,"Little Lake"
