"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.016610013861275,0.0172598944838523,0.270362443139306,0.000297903957593716,"Crescent Pond"
"SL","Linear",-0.0599480062885014,0.0172598944838523,0.00132333113117372,0.000297903957593716,"Crescent Pond"
"jaw²","Quadratic",-0.0271511869550819,0.0345356433383446,0.336055217098482,0.00119271066079335,"Crescent Pond"
"SL²","Quadratic",0.0306986091907303,0.0351759625762319,0.722978369831773,0.00123734834316447,"Crescent Pond"
"jaw × SL","Correlational",-0.0192135696762641,0.0302614235318122,0.500209916199863,0.000915753754171715,"Crescent Pond"
"jaw","Linear",0.00796025858616023,0.0126496813555116,0.522634234727428,0.000160014438395978,"Little Lake"
"SL","Linear",-0.0223991652556964,0.0126496813555116,0.0815096429421875,0.000160014438395978,"Little Lake"
"jaw²","Quadratic",-0.0428269375917368,0.0213044864878779,0.0360680166724341,0.000453881144512172,"Little Lake"
"SL²","Quadratic",-0.00221095921547796,0.0172312181607297,0.489711119865328,0.000296914879302661,"Little Lake"
"jaw × SL","Correlational",-0.0354216059046544,0.0167685523074246,0.0316494606463603,0.000281184346486835,"Little Lake"
