"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.0385808895112125,0.0171860005746972,0.0209156970931695,0.000295358615753491,"Crescent Pond"
"body","Linear",-0.0279833006582241,0.0171860005746972,0.155259458806856,0.000295358615753491,"Crescent Pond"
"jaw²","Quadratic",0.0129969602651264,0.0331407124999241,0.880061955021006,0.00109830682500263,"Crescent Pond"
"body²","Quadratic",0.0261648637654588,0.0331312091098849,0.507418064695006,0.00109767701708292,"Crescent Pond"
"jaw × body","Correlational",0.00376347157661571,0.0286698207243785,0.812524129120042,0.000821958620368004,"Crescent Pond"
"jaw","Linear",0.0236766295458869,0.0127337487416561,0.0636493113416195,0.000162148357015627,"Little Lake"
"body","Linear",0.0116420340837928,0.012733748741656,0.354096658983793,0.000162148357015627,"Little Lake"
"jaw²","Quadratic",-0.0119908848602238,0.0208883428998102,0.446303187570252,0.000436322869100052,"Little Lake"
"body²","Quadratic",0.000547616548687881,0.0197959232278549,0.968265371945941,0.000391878576443125,"Little Lake"
"jaw × body","Correlational",-0.0068710210392333,0.0160808073611716,0.572824380138783,0.000258592365387112,"Little Lake"
