"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.081013066652368,0.0147665967671691,1.1115715569363e-07,0.000218052380084168,"Crescent Pond"
"eye","Linear",0.0458608599944701,0.0147665967671691,0.00227609711839053,0.000218052380084168,"Crescent Pond"
"jaw²","Quadratic",0.0761245325274763,0.0257443685071784,0.0503079799767873,0.000662772509833397,"Crescent Pond"
"eye²","Quadratic",0.00468542675224352,0.022491980631182,0.682441956546961,0.000505889192713465,"Crescent Pond"
"jaw × eye","Correlational",0.0643169666434832,0.0197313833326618,0.00454620017882634,0.000389327488220444,"Crescent Pond"
"jaw","Linear",0.0196966215456539,0.0112861444047448,0.0832591716506994,0.000127377055524751,"Little Lake"
"eye","Linear",0.0173755861832075,0.0112861444047448,0.125655843392255,0.000127377055524751,"Little Lake"
"jaw²","Quadratic",-0.00621715189494463,0.0165447159990539,0.58307776434768,0.000273727627489351,"Little Lake"
"eye²","Quadratic",0.00651145979376842,0.0136826441445181,0.766846533399925,0.000187214750785515,"Little Lake"
"jaw × eye","Correlational",0.00700290508676183,0.0115659466016557,0.672020948062256,0.000133771120792351,"Little Lake"
