"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.059433700604988,0.012811932378391,6.1415438185926e-06,0.000164145611268464,"Crescent Pond"
"mouth","Linear",-0.0167003123388301,0.012811932378391,0.197739987973619,0.000164145611268464,"Crescent Pond"
"jaw²","Quadratic",0.0307847820002146,0.0213069454221182,0.44624138546382,0.000453985923221126,"Crescent Pond"
"mouth²","Quadratic",0.015483498312072,0.017283211341623,0.444215728231371,0.000298709394279207,"Crescent Pond"
"jaw × mouth","Correlational",-0.0150482666353673,0.012854946411143,0.364991164908321,0.000165249647233359,"Crescent Pond"
"jaw","Linear",0.0175946761038375,0.0112631490552321,0.117133998375254,0.000126858526640376,"Little Lake"
"mouth","Linear",-0.0137268798937196,0.0112631490552321,0.22068457222545,0.000126858526640376,"Little Lake"
"jaw²","Quadratic",-0.00330070073445469,0.0167137685167907,0.618518892090537,0.000279350058032863,"Little Lake"
"mouth²","Quadratic",-0.00643754786962459,0.0153654086884676,0.500166935623981,0.000236095784163637,"Little Lake"
"jaw × mouth","Correlational",0.0136870870441567,0.0108504438518205,0.118630408298151,0.000117732131781509,"Little Lake"
