"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.0596350080212642,0.0126379798484752,5.38438119356445e-06,0.000159718534650465,"Crescent Pond"
"nasal","Linear",-0.048748580361638,0.0126379798484752,0.000199609610619302,0.000159718534650465,"Crescent Pond"
"jaw²","Quadratic",0.0263387162215989,0.020739425875425,0.541221555367018,0.000430123785642249,"Crescent Pond"
"nasal²","Quadratic",0.0464005651437471,0.0148258287578944,0.0144704840489306,0.000219805198358409,"Crescent Pond"
"jaw × nasal","Correlational",-0.0300766541299467,0.0123123161656142,0.0722773368080078,0.000151593129362045,"Crescent Pond"
"jaw","Linear",0.0192283356150096,0.0113144913417436,0.0905717144980045,0.00012801771432239,"Little Lake"
"nasal","Linear",0.0097658966597475,0.0113144913417436,0.39158739677165,0.00012801771432239,"Little Lake"
"jaw²","Quadratic",-0.00197894510713588,0.0172030571398524,0.719445040702284,0.000295945174957028,"Little Lake"
"nasal²","Quadratic",-0.0192018594195803,0.0167560980030154,0.202346872748313,0.000280766820286656,"Little Lake"
"jaw × nasal","Correlational",0.0146382323788356,0.0119736739470667,0.19513032639972,0.000143368867790665,"Little Lake"
