"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"mouth","Linear",-0.0164096900296969,0.0126963609590678,0.198070666032481,0.000161197581602941,"Crescent Pond"
"SL","Linear",-0.0728080586286397,0.0126963609590678,3.43679556457997e-08,0.000161197581602941,"Crescent Pond"
"mouth²","Quadratic",0.0103062505238172,0.0170457054936415,0.688151268814546,0.000290556075775962,"Crescent Pond"
"SL²","Quadratic",0.0531164192828374,0.0186317783627577,0.0956536362452645,0.000347143164958924,"Crescent Pond"
"mouth × SL","Correlational",0.0404089306086284,0.0123836548427519,0.00798286894885338,0.000153354907264413,"Crescent Pond"
"mouth","Linear",-0.0127809501058698,0.0112639920088281,0.260491979658345,0.000126877515974942,"Little Lake"
"SL","Linear",-0.0251541582191899,0.0112639920088281,0.0264833983228718,0.000126877515974943,"Little Lake"
"mouth²","Quadratic",-0.0161218077179584,0.0153436348428945,0.244185322911384,0.000235427130192087,"Little Lake"
"SL²","Quadratic",0.0185325218722613,0.0129361763635046,0.265044655372977,0.000167344658907695,"Little Lake"
"mouth × SL","Correlational",0.0150716868469469,0.0115365614752174,0.237534932949746,0.000133092250671471,"Little Lake"
