"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.053038617432708,0.0125799219268181,6.92977605973324e-05,0.000158254435684838,"Crescent Pond"
"SL","Linear",-0.0761349207176611,0.0125799219268181,1.04911901199466e-08,0.000158254435684838,"Crescent Pond"
"nasal²","Quadratic",0.0351289708799053,0.0149075967076931,0.0466592357920118,0.000222236439599221,"Crescent Pond"
"SL²","Quadratic",0.048964993016971,0.0184265971567859,0.0792815326456793,0.00033953948277847,"Crescent Pond"
"nasal × SL","Correlational",0.0386538549032089,0.0118190009415358,0.0159418866301619,0.000139688783256024,"Crescent Pond"
"nasal","Linear",0.00473665659378262,0.0113250450102666,0.675721882650388,0.000128256644484564,"Little Lake"
"SL","Linear",-0.0254793076063475,0.0113250450102666,0.0251450397566239,0.000128256644484564,"Little Lake"
"nasal²","Quadratic",-0.0247488525801434,0.0165722157153603,0.129290326616901,0.000274638333716434,"Little Lake"
"SL²","Quadratic",0.018582931363183,0.0132773029362145,0.288209773188215,0.000176286773260011,"Little Lake"
"nasal × SL","Correlational",-0.000355487137748903,0.0117799312228051,0.998861167735202,0.000138766779614017,"Little Lake"
