"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.0515943829815887,0.0141755197858036,0.000359504346940071,0.00020094536119771,"Crescent Pond"
"mouth","Linear",0.0128391368200212,0.0141755197858036,0.369589328159901,0.00020094536119771,"Crescent Pond"
"nasal²","Quadratic",0.0379697346635837,0.0209625045359194,0.276803989869338,0.000439426596418442,"Crescent Pond"
"mouth²","Quadratic",-0.0107932847038485,0.0209819210539313,0.579671405067996,0.000440241011113406,"Crescent Pond"
"nasal × mouth","Correlational",0.0220643369912687,0.016980388544829,0.209295777872151,0.00028833359513336,"Crescent Pond"
"nasal","Linear",0.0195279396564982,0.0128857987872605,0.130118307169798,0.000166043810385764,"Little Lake"
"mouth","Linear",-0.0240596543591129,0.0128857987872605,0.0611320494954801,0.000166043810385764,"Little Lake"
"nasal²","Quadratic",-0.00114870246215013,0.0211015613566582,0.780112360168129,0.000445275891688813,"Little Lake"
"mouth²","Quadratic",0.0116879616240776,0.0204745370915941,0.721811192590958,0.000419206669115062,"Little Lake"
"nasal × mouth","Correlational",-0.0229657972332331,0.0160143495171759,0.183619421814033,0.000256459390458272,"Little Lake"
