"Trait1","Trait2","Term","Fitness","Analysis","Type","Coefficient","P_Value"
"jaw","eye","jaw","Binary","Overall","Linear",0.0438,1.13930383821057e-06
"jaw","eye","eye","Binary","Overall","Linear",0.0231,0.00965184621780231
"jaw","eye","jaw²","Binary","Overall","Quadratic",0.0161,0.637471067809269
"jaw","eye","eye²","Binary","Overall","Quadratic",-0.0092,0.240553983861041
"jaw","eye","jaw × eye","Binary","Overall","Correlational",0.0182,0.0864045553827983
"jaw","eye","jaw","Continuous","Overall","Linear",0.1771,0.0165801781887572
"jaw","eye","eye","Continuous","Overall","Linear",-0.0963,0.192168311651963
"jaw","eye","jaw²","Continuous","Overall","Quadratic",0.0833,0.463811955924066
"jaw","eye","eye²","Continuous","Overall","Quadratic",0.0139,0.882810857114886
"jaw","eye","jaw × eye","Continuous","Overall","Correlational",0.1679,0.0253391311742754
"jaw","eye","jaw","Binary","Group: ","Linear",0.081,1.1115715569363e-07
"jaw","eye","eye","Binary","Group: ","Linear",0.0459,0.00227609711839053
"jaw","eye","jaw","Binary","Group: ","Linear",0.0197,0.0832591716506994
"jaw","eye","eye","Binary","Group: ","Linear",0.0174,0.125655843392255
"jaw","eye","jaw","Continuous","Group: ","Linear",0.2967,0.00941340284151178
"jaw","eye","eye","Continuous","Group: ","Linear",-0.0556,0.625594783042654
"jaw","eye","jaw","Continuous","Group: ","Linear",0.0997,0.318724904975654
"jaw","eye","eye","Continuous","Group: ","Linear",-0.0944,0.3450114715515
"jaw","body","jaw","Binary","Overall","Linear",0.0332,0.00121950004709184
"jaw","body","body","Binary","Overall","Linear",-0.0066,0.585161774283123
"jaw","body","jaw²","Binary","Overall","Quadratic",-0.0057,0.481949268280993
"jaw","body","body²","Binary","Overall","Quadratic",0.0086,0.718716984484252
"jaw","body","jaw × body","Binary","Overall","Correlational",-0.0096,0.486149040478089
"jaw","body","jaw","Continuous","Overall","Linear",0.3078,0.000345360989217721
"jaw","body","body","Continuous","Overall","Linear",0.1791,0.0370937863816712
"jaw","body","jaw²","Continuous","Overall","Quadratic",0.1351,0.366507475941174
"jaw","body","body²","Continuous","Overall","Quadratic",0.2175,0.129503234470466
"jaw","body","jaw × body","Continuous","Overall","Correlational",0.142,0.231230940579018
"jaw","body","jaw","Binary","Group: ","Linear",0.0386,0.0209156970931695
"jaw","body","body","Binary","Group: ","Linear",-0.028,0.155259458806856
"jaw","body","jaw","Binary","Group: ","Linear",0.0237,0.0636493113416195
"jaw","body","body","Binary","Group: ","Linear",0.0116,0.354096658983793
"jaw","body","jaw","Continuous","Group: ","Linear",0.4635,0.000468734562780552
"jaw","body","body","Continuous","Group: ","Linear",0.2053,0.120256899082602
"jaw","body","jaw","Continuous","Group: ","Linear",0.1961,0.0818807555962431
"jaw","body","body","Continuous","Group: ","Linear",0.189,0.0935581878388418
"jaw","nasal","jaw","Binary","Overall","Linear",0.0365,1.95507381417895e-05
"jaw","nasal","nasal","Binary","Overall","Linear",-0.0166,0.0497799494586856
"jaw","nasal","jaw²","Binary","Overall","Quadratic",0.007,0.981501714751162
"jaw","nasal","nasal²","Binary","Overall","Quadratic",0.0254,0.0411726131948343
"jaw","nasal","jaw × nasal","Binary","Overall","Correlational",-0.0063,0.658917867014734
"jaw","nasal","jaw","Continuous","Overall","Linear",0.2022,0.0042095231098737
"jaw","nasal","nasal","Continuous","Overall","Linear",-0.1116,0.11399563894641
"jaw","nasal","jaw²","Continuous","Overall","Quadratic",0.0265,0.810458372521133
"jaw","nasal","nasal²","Continuous","Overall","Quadratic",0.021,0.82036153315409
"jaw","nasal","jaw × nasal","Continuous","Overall","Correlational",0.0575,0.416977205338964
"jaw","nasal","jaw","Binary","Group: ","Linear",0.0596,5.38438119356445e-06
"jaw","nasal","nasal","Binary","Group: ","Linear",-0.0487,0.000199609610619302
"jaw","nasal","jaw","Binary","Group: ","Linear",0.0192,0.0905717144980045
"jaw","nasal","nasal","Binary","Group: ","Linear",0.0098,0.39158739677165
"jaw","nasal","jaw","Continuous","Group: ","Linear",0.3356,0.000608709370681565
"jaw","nasal","nasal","Continuous","Group: ","Linear",-0.2269,0.020266734251864
"jaw","nasal","jaw","Continuous","Group: ","Linear",0.1043,0.298117985000041
"jaw","nasal","nasal","Continuous","Group: ","Linear",-0.0334,0.739139761840289
"jaw","mouth","jaw","Binary","Overall","Linear",0.0375,1.20905407007805e-05
"jaw","mouth","mouth","Binary","Overall","Linear",-0.0141,0.0955953653294871
"jaw","mouth","jaw²","Binary","Overall","Quadratic",0.0085,0.949647857962197
"jaw","mouth","mouth²","Binary","Overall","Quadratic",0.0049,0.750459306094082
"jaw","mouth","jaw × mouth","Binary","Overall","Correlational",0.0022,0.540352679917389
"jaw","mouth","jaw","Continuous","Overall","Linear",0.2095,0.00302421065937975
"jaw","mouth","mouth","Continuous","Overall","Linear",-0.1117,0.113591700837273
"jaw","mouth","jaw²","Continuous","Overall","Quadratic",0.008,0.941723937288164
"jaw","mouth","mouth²","Continuous","Overall","Quadratic",0.1044,0.27681762554321
"jaw","mouth","jaw × mouth","Continuous","Overall","Correlational",0.0249,0.715253909230157
"jaw","mouth","jaw","Binary","Group: ","Linear",0.0594,6.1415438185926e-06
"jaw","mouth","mouth","Binary","Group: ","Linear",-0.0167,0.197739987973619
"jaw","mouth","jaw","Binary","Group: ","Linear",0.0176,0.117133998375254
"jaw","mouth","mouth","Binary","Group: ","Linear",-0.0137,0.22068457222545
"jaw","mouth","jaw","Continuous","Group: ","Linear",0.3369,0.000649254363486232
"jaw","mouth","mouth","Continuous","Group: ","Linear",-0.0957,0.331388668530345
"jaw","mouth","jaw","Continuous","Group: ","Linear",0.1011,0.31069455284802
"jaw","mouth","mouth","Continuous","Group: ","Linear",-0.1426,0.152804246172593
"jaw","SL","jaw","Binary","Overall","Linear",0.0148,0.131541583870294
"jaw","SL","SL","Binary","Overall","Linear",-0.0392,0.00025766719002865
"jaw","SL","jaw²","Binary","Overall","Quadratic",-0.0408,0.0143167199936487
"jaw","SL","SL²","Binary","Overall","Quadratic",0.0032,0.512189590696025
"jaw","SL","jaw × SL","Binary","Overall","Correlational",-0.0374,0.0101733348236625
"jaw","SL","jaw","Continuous","Overall","Linear",0.2524,0.00325010100790486
"jaw","SL","SL","Continuous","Overall","Linear",0.0826,0.334741481745242
"jaw","SL","jaw²","Continuous","Overall","Quadratic",-0.1753,0.250249139874247
"jaw","SL","SL²","Continuous","Overall","Quadratic",0.0634,0.628799366396729
"jaw","SL","jaw × SL","Continuous","Overall","Correlational",-0.1732,0.15203243024376
"jaw","SL","jaw","Binary","Group: ","Linear",0.0166,0.270362443139306
"jaw","SL","SL","Binary","Group: ","Linear",-0.0599,0.00132333113117372
"jaw","SL","jaw","Binary","Group: ","Linear",0.008,0.522634234727428
"jaw","SL","SL","Binary","Group: ","Linear",-0.0224,0.0815096429421875
"jaw","SL","jaw","Continuous","Group: ","Linear",0.4721,0.000416317218343471
"jaw","SL","SL","Continuous","Group: ","Linear",0.2157,0.105910977349794
