"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.491495125164332,0.176727032991552,0.00553263239315284,0.0312324441899971
"eye","Linear",-0.0302601532798283,0.121806390947103,0.803860682342056,0.0148367968755585
"body","Linear",0.123037707890899,0.14836720228619,0.407170533310179,0.0220128267142314
"nasal","Linear",-0.215362152356643,0.110592208374131,0.051808294047183,0.0122306365530672
"mouth","Linear",-0.00214709683950796,0.109428756715202,0.984350169056902,0.0119746527962348
"SL","Linear",0.130591862116747,0.148793310129816,0.380359430188667,0.0221394491393876
"jaw²","Quadratic",0.497122744087311,0.43924856807547,0.258050525988267,0.192939304556351
"eye²","Quadratic",-0.106972382907406,0.207528586965415,0.606364493509608,0.0430681144078616
"body²","Quadratic",-0.284649581219729,0.321784289540905,0.376619849006484,0.103545128995345
"nasal²","Quadratic",0.190700635486238,0.170381605615122,0.263341998519862,0.029029891531987
"mouth²","Quadratic",0.454814060083748,0.165102148401869,0.00599730699343979,0.0272587194069129
"SL²","Quadratic",0.127757483437852,0.339716592504789,0.706956599354784,0.115407363223065
"jaw × eye","Correlational",0.186030213402235,0.24887482541077,0.454974200934641,0.061938678723241
"jaw × body","Correlational",-0.0586457795503201,0.307407301160594,0.848746306874262,0.0944992488068399
"jaw × nasal","Correlational",-0.0170920751529284,0.214396542498123,0.936476993191739,0.0459658774351495
"jaw × mouth","Correlational",0.0656125527834531,0.222301681184432,0.767949477605826,0.049418037457425
"jaw × SL","Correlational",0.240080677834758,0.291903230634718,0.411038271579338,0.0852074960549853
"eye × body","Correlational",-0.254696617840946,0.195136528825144,0.192164522255339,0.0380782648819261
"eye × nasal","Correlational",0.169468080281097,0.151100689562167,0.262362327535622,0.0228314183861625
"eye × mouth","Correlational",-0.0736799632681208,0.146405408900222,0.614909865884815,0.0214345437552412
"eye × SL","Correlational",0.207056261080013,0.187968586586857,0.270965362940675,0.0353321895434606
"body × nasal","Correlational",-0.182851187031978,0.168138773554931,0.277118463922883,0.0282706471725563
"body × mouth","Correlational",0.0285281135074485,0.164242683817122,0.862145946480625,0.0269756591874512
"body × SL","Correlational",0.236047305918749,0.240096870936046,0.325816896880065,0.0576465074332801
"nasal × mouth","Correlational",-0.183511185466082,0.135971103871259,0.177487014054218,0.0184881410879687
"nasal × SL","Correlational",0.0474633760229808,0.166815251221469,0.776075032270555,0.0278273280400819
"mouth × SL","Correlational",0.334887098913037,0.166433436874374,0.0445153066617182,0.0277000889098163
