"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"body","Linear",-0.0645829887843224,0.134630088155872,0.631553779587758,0.0181252606368578,"Crescent Pond"
"SL","Linear",-0.0615394850326396,0.134630088155872,0.647710461118245,0.0181252606368578,"Crescent Pond"
"body²","Quadratic",-0.0601887116319557,0.252245108423926,0.811461630844101,0.063627594723798,"Crescent Pond"
"SL²","Quadratic",-0.0159157779839573,0.267924699383622,0.952643784797569,0.071783644539804,"Crescent Pond"
"body × SL","Correlational",0.13197555128402,0.222480023138433,0.553197494084138,0.0494973606956779,"Crescent Pond"
"body","Linear",0.136201768062896,0.111730874598472,0.223134328248968,0.0124837883385394,"Little Lake"
"SL","Linear",-0.0860320172554611,0.111730874598472,0.441491383138662,0.0124837883385394,"Little Lake"
"body²","Quadratic",0.0337843239175147,0.167483102775092,0.84017976747791,0.0280505897151721,"Little Lake"
"SL²","Quadratic",0.159480377431038,0.146835429773592,0.277698140921763,0.0215606434367954,"Little Lake"
"body × SL","Correlational",0.035414331246787,0.129962207313559,0.785297956871591,0.0168901753298124,"Little Lake"
