"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"body","Linear",-0.110871544928121,0.0985089219492349,0.260682034314516,0.00970400770360044,"Crescent Pond"
"mouth","Linear",-0.0624484852126932,0.0985089219492348,0.526284780180389,0.00970400770360043,"Crescent Pond"
"body²","Quadratic",0.104697256324898,0.140432248951195,0.456145666465093,0.0197212165454905,"Crescent Pond"
"mouth²","Quadratic",0.300154978841327,0.134030591034786,0.0253739675546442,0.017964199333134,"Crescent Pond"
"body × mouth","Correlational",0.146427326364991,0.095787216135426,0.126702458884305,0.00917519077497481,"Crescent Pond"
"body","Linear",0.10496893296453,0.0996595934223985,0.29247738487165,0.00993203456111776,"Little Lake"
"mouth","Linear",-0.152568224582945,0.0996595934223986,0.126121758587196,0.00993203456111779,"Little Lake"
"body²","Quadratic",0.111463153901572,0.138917327138459,0.422535863294293,0.0192980237792937,"Little Lake"
"mouth²","Quadratic",-0.084548427388801,0.134007863561274,0.528241012322216,0.0179581074962569,"Little Lake"
"body × mouth","Correlational",0.0223884907648442,0.0980099827458697,0.819359706633152,0.00960595671784568,"Little Lake"
