"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"body","Linear",-0.124051921344915,0.098330029200701,0.207428227901726,0.00966879464261071,"Crescent Pond"
"nasal","Linear",-0.221368708798688,0.0983300292007009,0.0246111406208546,0.00966879464261069,"Crescent Pond"
"body²","Quadratic",0.081328995043746,0.141538732500681,0.565703704064376,0.0200332127978992,"Crescent Pond"
"nasal²","Quadratic",0.11693778464312,0.117020804957451,0.317926795364391,0.0136938687928898,"Crescent Pond"
"body × nasal","Correlational",-0.0373818990943485,0.0924937336748738,0.686195529522412,0.00855509076911849,"Crescent Pond"
"body","Linear",0.0946294158730839,0.0998902586711323,0.343704661661349,0.00997806377738571,"Little Lake"
"nasal","Linear",-0.0373816748075895,0.0998902586711324,0.708316906490616,0.00997806377738573,"Little Lake"
"body²","Quadratic",0.118784805725462,0.139408596213461,0.394390497047761,0.0194347566982078,"Little Lake"
"nasal²","Quadratic",-0.13140934626086,0.146881555140377,0.371190421588684,0.0215741912404555,"Little Lake"
"body × nasal","Correlational",0.0376593828243596,0.100361899952538,0.707567357306083,0.0100725109620832,"Little Lake"
