"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"eye","Linear",-0.195194998377412,0.0999632378053819,0.0511724629292849,0.00999264891253533,"Crescent Pond"
"SL","Linear",-0.0681136432540388,0.0999632378053818,0.495804149002297,0.00999264891253532,"Crescent Pond"
"eye²","Quadratic",-0.24836742338171,0.140974959518614,0.0784506407249939,0.019873939211275,"Crescent Pond"
"SL²","Quadratic",0.169137386217083,0.148656303299778,0.255522139666913,0.0220986965107557,"Crescent Pond"
"eye × SL","Correlational",-0.11808720751264,0.117061195090991,0.313362878468018,0.013703323396131,"Crescent Pond"
"eye","Linear",-0.108725745893293,0.100719814648017,0.2806389580061,0.010144481062731,"Little Lake"
"SL","Linear",-0.0402544620245297,0.100719814648017,0.689489232716917,0.010144481062731,"Little Lake"
"eye²","Quadratic",0.202894861012742,0.140620794575819,0.149386266893516,0.0197742078671348,"Little Lake"
"SL²","Quadratic",0.325970162229908,0.130403378878549,0.0125943794878637,0.0170050412229425,"Little Lake"
"eye × SL","Correlational",0.228782187343377,0.0974903146910767,0.0191406282026216,0.00950436145856516,"Little Lake"
