"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"eye","Linear",-0.195737898889197,0.099580954919888,0.0496539289714967,0.00991636658275677,"Crescent Pond"
"body","Linear",-0.0729063755687882,0.099580954919888,0.464281138804449,0.00991636658275677,"Crescent Pond"
"eye²","Quadratic",-0.252003614879189,0.139100617919296,0.0703765718417076,0.0193489819055299,"Crescent Pond"
"body²","Quadratic",0.151622898564958,0.143262830942038,0.290182194339322,0.020524238729527,"Crescent Pond"
"eye × body","Correlational",-0.282068020665278,0.114294194551174,0.0137783053219195,0.0130631629081016,"Crescent Pond"
"eye","Linear",-0.100480024178915,0.0996308226316504,0.313454726615115,0.00992630081825937,"Little Lake"
"body","Linear",0.0947431737600543,0.0996308226316503,0.341870492921776,0.00992630081825935,"Little Lake"
"eye²","Quadratic",0.107142996671325,0.125626708062215,0.393943711445937,0.0157820697785491,"Little Lake"
"body²","Quadratic",0.0961345245190529,0.140429900489841,0.493777418278517,0.0197205569515865,"Little Lake"
"eye × body","Correlational",-0.0408932434947925,0.102165353623925,0.689049547192611,0.0104377594811016,"Little Lake"
