"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"eye","Linear",-0.212334549571416,0.0982699013759601,0.0309828484324542,0.00965697351644093,"Crescent Pond"
"mouth","Linear",-0.0675979712221403,0.0982699013759601,0.491707328700928,0.00965697351644092,"Crescent Pond"
"eye²","Quadratic",-0.273839464628082,0.138424997656098,0.0482097389265805,0.0191614799760906,"Crescent Pond"
"mouth²","Quadratic",0.331750744675656,0.132326521886361,0.0123519510690662,0.0175103083945417,"Crescent Pond"
"eye × mouth","Correlational",-0.0102873646987145,0.102834392979816,0.920336651410827,0.0105749123795273,"Crescent Pond"
"eye","Linear",-0.0983358634631488,0.0995874287304447,0.323676896650816,0.0099176559611414,"Little Lake"
"mouth","Linear",-0.144182951017594,0.0995874287304447,0.147995352432396,0.0099176559611414,"Little Lake"
"eye²","Quadratic",0.105492536033754,0.120693246334473,0.382305313642581,0.0145668597107537,"Little Lake"
"mouth²","Quadratic",-0.075265938119092,0.1340830933735,0.574697186683503,0.0179782759286067,"Little Lake"
"eye × mouth","Correlational",0.0709184548106128,0.10282569280636,0.490550941590172,0.0105731231011078,"Little Lake"
