"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"eye","Linear",-0.240401479611828,0.0986490939384887,0.0150075544967796,0.00973164373488477,"Crescent Pond"
"nasal","Linear",-0.243323822109753,0.0986490939384887,0.0138294647013776,0.00973164373488476,"Crescent Pond"
"eye²","Quadratic",-0.248419780623508,0.141861391568693,0.0802670740116997,0.0201246544178061,"Crescent Pond"
"nasal²","Quadratic",0.144194162414809,0.115368876838518,0.211683207285664,0.013309977742981,"Crescent Pond"
"eye × nasal","Correlational",0.166138016143703,0.103336177309885,0.108247746438524,0.0106783655410199,"Crescent Pond"
"eye","Linear",-0.10365070826052,0.0996509235772524,0.298534997151577,0.00993030656979939,"Little Lake"
"nasal","Linear",-0.0458394584131149,0.0996509235772523,0.645619067281995,0.00993030656979938,"Little Lake"
"eye²","Quadratic",0.112835404782215,0.120710698976627,0.350145905032684,0.0145710728474258,"Little Lake"
"nasal²","Quadratic",-0.137234420457616,0.147012409553172,0.350800735134714,0.0216126485626295,"Little Lake"
"eye × nasal","Correlational",-0.00230129294344781,0.102492169571893,0.982090953104042,0.0105046448235536,"Little Lake"
