"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.472094114549841,0.133249968953998,0.000416317218343471,0.0177555542262415,"Crescent Pond"
"SL","Linear",0.215664214194628,0.133249968953998,0.105910977349794,0.0177555542262415,"Crescent Pond"
"jaw²","Quadratic",0.185122182530711,0.267278132804903,0.488729543230642,0.0714376002756753,"Crescent Pond"
"SL²","Quadratic",0.237391822683531,0.272233689260733,0.383436509894957,0.0741111815685092,"Crescent Pond"
"jaw × SL","Correlational",0.081521280339489,0.234199105496924,0.727858761754929,0.0548492210155593,"Crescent Pond"
"jaw","Linear",0.122197593702357,0.112118074707155,0.276027467751411,0.0125704626760391,"Little Lake"
"SL","Linear",0.0316690701937688,0.112118074707155,0.77764971299486,0.0125704626760391,"Little Lake"
"jaw²","Quadratic",-0.305240848259622,0.188883310427363,0.106414286628602,0.0356769049579994,"Little Lake"
"SL²","Quadratic",0.0160481035525547,0.152770146830181,0.916359998184461,0.0233387177625151,"Little Lake"
"jaw × SL","Correlational",-0.286482738602349,0.148668200601921,0.0542730999722982,0.022102233870213,"Little Lake"
