"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.463460975181736,0.131999579209538,0.000468734562780552,0.0174238889114952,"Crescent Pond"
"body","Linear",0.205284332474969,0.131999579209538,0.120256899082602,0.0174238889114952,"Crescent Pond"
"jaw²","Quadratic",0.225032781191504,0.2546411058744,0.377084263493233,0.0648420928009376,"Crescent Pond"
"body²","Quadratic",0.160567944534848,0.254568085303429,0.528368909867757,0.064804910055054,"Crescent Pond"
"jaw × body","Correlational",0.0983135909350875,0.22028840974657,0.655493299885365,0.0485269834686726,"Crescent Pond"
"jaw","Linear",0.196063138023678,0.112571018795941,0.0818807555962431,0.0126722342727562,"Little Lake"
"body","Linear",0.188958207750646,0.112571018795941,0.0935581878388418,0.0126722342727561,"Little Lake"
"jaw²","Quadratic",0.0546081986611354,0.184583572722172,0.767411676388142,0.0340710953188813,"Little Lake"
"body²","Quadratic",0.190364095978543,0.174930211183219,0.276765253234673,0.0306005787846054,"Little Lake"
"jaw × body","Correlational",0.11413177923108,0.14210092630225,0.422071499796103,0.0201926732559575,"Little Lake"
