"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.296666728036158,0.114000461738101,0.00941340284151178,0.0129961052765003,"Crescent Pond"
"eye","Linear",-0.055644364220004,0.114000461738102,0.625594783042654,0.0129961052765003,"Crescent Pond"
"jaw²","Quadratic",0.288989107633192,0.199960130782765,0.148745855953742,0.0399840539026605,"Crescent Pond"
"eye²","Quadratic",-0.116646612816774,0.174698376746764,0.504497136910466,0.0305195228379543,"Crescent Pond"
"jaw × eye","Correlational",0.21203662090821,0.153256429289528,0.16684738768886,0.023487533118576,"Crescent Pond"
"jaw","Linear",0.0997109651950113,0.0999514161135996,0.318724904975654,0.00999028558311394,"Little Lake"
"eye","Linear",-0.0944311201232813,0.0999514161135997,0.3450114715515,0.00999028558311395,"Little Lake"
"jaw²","Quadratic",-0.036644764081387,0.146418359230572,0.802428329078111,0.0214383359197727,"Little Lake"
"eye²","Quadratic",0.102097532840424,0.121089434577825,0.399348556699309,0.0146626511663773,"Little Lake"
"jaw × eye","Correlational",0.1163241986183,0.102356965478263,0.256047277809876,0.0104769483819183,"Little Lake"
