"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.336867234809827,0.0984327800285304,0.000649254363486232,0.00968901218414505,"Crescent Pond"
"mouth","Linear",-0.0956620661331911,0.0984327800285303,0.331388668530345,0.00968901218414504,"Crescent Pond"
"jaw²","Quadratic",0.117339004969398,0.163370479523677,0.472799452850401,0.0266899135797962,"Crescent Pond"
"mouth²","Quadratic",0.288620190349292,0.132518597511351,0.0296721195259795,0.0175611786863755,"Crescent Pond"
"jaw × mouth","Correlational",-0.138381447223262,0.098564985164862,0.160680720286724,0.00971505630054947,"Crescent Pond"
"jaw","Linear",0.101067615261318,0.0996431362028337,0.31069455284802,0.00992875459233648,"Little Lake"
"mouth","Linear",-0.14257126304861,0.0996431362028338,0.152804246172593,0.00992875459233648,"Little Lake"
"jaw²","Quadratic",0.00397852737009795,0.147829514691904,0.978534722719171,0.0218535654140439,"Little Lake"
"mouth²","Quadratic",-0.035071713579115,0.135903575975522,0.796413032382919,0.0184697819629344,"Little Lake"
"jaw × mouth","Correlational",0.145648177461728,0.0959697298185614,0.129430239501743,0.00921018904144768,"Little Lake"
