"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"jaw","Linear",0.33563599802143,0.0975676732673298,0.000608709370681565,0.00951945086680041,"Crescent Pond"
"nasal","Linear",-0.226898557495646,0.0975676732673297,0.020266734251864,0.00951945086680041,"Crescent Pond"
"jaw²","Quadratic",0.0979574816841787,0.161695688980698,0.544793556392192,0.0261454958349427,"Crescent Pond"
"nasal²","Quadratic",0.0750445939393243,0.115590113733969,0.516357845276907,0.0133610743930318,"Crescent Pond"
"jaw × nasal","Correlational",-0.110924275290415,0.0959934212887838,0.248180724090734,0.00921473693072593,"Crescent Pond"
"jaw","Linear",0.104269192294848,0.100159011711137,0.298117985000041,0.0100318276269517,"Little Lake"
"nasal","Linear",-0.0333617748202439,0.100159011711137,0.739139761840289,0.0100318276269517,"Little Lake"
"jaw²","Quadratic",0.0593404394151823,0.152128683982401,0.696572613609778,0.0231431364902174,"Little Lake"
"nasal²","Quadratic",-0.0825456363989651,0.148176171081458,0.577603273223467,0.0219561776763615,"Little Lake"
"jaw × nasal","Correlational",0.229523369959506,0.105884625342659,0.0304268861132736,0.0112115538839552,"Little Lake"
