"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"mouth","Linear",-0.0655248592421448,0.0987249228129579,0.507047104966808,0.0097466103844245,"Crescent Pond"
"SL","Linear",-0.111878252051315,0.0987249228129579,0.257422315774937,0.0097466103844245,"Crescent Pond"
"mouth²","Quadratic",0.31077388229518,0.132528205502449,0.0192487801962034,0.0175637252536993,"Crescent Pond"
"SL²","Quadratic",0.203949123012459,0.1448597215678,0.159509151990821,0.0209843389327005,"Crescent Pond"
"mouth × SL","Correlational",0.30549192974614,0.0962813510114804,0.00156120853780563,0.00927009855259589,"Crescent Pond"
"mouth","Linear",-0.146267374293081,0.0998328632919056,0.143211539909428,0.00996660059306031,"Little Lake"
"SL","Linear",-0.0141194111365087,0.0998328632919057,0.887559232449272,0.00996660059306032,"Little Lake"
"mouth²","Quadratic",-0.0964793349942975,0.13603005790149,0.478340239019132,0.0185041766526826,"Little Lake"
"SL²","Quadratic",0.190395123360699,0.114686567933172,0.0972116144448286,0.0131530088642901,"Little Lake"
"mouth × SL","Correlational",0.0938419881359062,0.102278185157975,0.359100490681597,0.0104608271592089,"Little Lake"
