"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.223224461329607,0.0984401114367389,0.0235918507641798,0.00969045553967757,"Crescent Pond"
"SL","Linear",-0.126215254896718,0.0984401114367389,0.200123328908918,0.00969045553967757,"Crescent Pond"
"nasal²","Quadratic",0.0800318035939225,0.118139470514021,0.498306892666132,0.0139569344933333,"Crescent Pond"
"SL²","Quadratic",0.14813498467237,0.146026785816822,0.310651183056001,0.021323822175992,"Crescent Pond"
"nasal × SL","Correlational",0.0964195201495037,0.0936630189705362,0.303558603620016,0.00877276112267502,"Crescent Pond"
"nasal","Linear",-0.0476311014918674,0.100415765984415,0.635365033272835,0.0100833260582368,"Little Lake"
"SL","Linear",-0.0300929692775344,0.100415765984415,0.764482629217862,0.0100833260582369,"Little Lake"
"nasal²","Quadratic",-0.136108785981635,0.146992474968228,0.354699089100692,0.0216067876972852,"Little Lake"
"SL²","Quadratic",0.189291044986387,0.117767210674681,0.108307929586863,0.0138691159100948,"Little Lake"
"nasal × SL","Correlational",-0.0101503126965145,0.104485801725999,0.922631075130573,0.0109172827623248,"Little Lake"
