"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance","Group"
"nasal","Linear",-0.231209048709561,0.108849157710507,0.0339353133138514,0.0118481391342868,"Crescent Pond"
"mouth","Linear",0.0452407903415363,0.108849157710507,0.677782316228389,0.0118481391342868,"Crescent Pond"
"nasal²","Quadratic",0.240037987122259,0.161652671505609,0.137926107915911,0.0261315862049004,"Crescent Pond"
"mouth²","Quadratic",0.451737193859887,0.161802402278599,0.00535261158396796,0.0261800173831255,"Crescent Pond"
"nasal × mouth","Correlational",-0.216005551317501,0.13094452367423,0.0993800693821319,0.017146468280271,"Crescent Pond"
"nasal","Linear",0.0364032581044512,0.114044460924474,0.749641814129489,0.013006139067554,"Little Lake"
"mouth","Linear",-0.16499773460107,0.114044460924474,0.148280411519355,0.013006139067554,"Little Lake"
"nasal²","Quadratic",-0.0950180553920083,0.187047030043828,0.611576078185437,0.0349865914482167,"Little Lake"
"mouth²","Quadratic",-0.0411377968148332,0.181489004049289,0.820729615170484,0.0329382585908029,"Little Lake"
"nasal × mouth","Correlational",-0.0126779826725153,0.141953311636174,0.928853299234702,0.0201507426844768,"Little Lake"
